               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.021911,           0.0086758,            0.011279,             0.95314,             0.97849,             0.98708,             0.69836,            0.013897,           0.0052866,            0.002543,            0.002179,            0.002179,            0.002179
                  81,             0.02141,             0.00876,           0.0089258,             0.97226,             0.98432,             0.99303,             0.71485,            0.013554,           0.0053362,           0.0014358,             0.00208,             0.00208,             0.00208
                  82,            0.019993,           0.0088006,           0.0077008,              0.9689,             0.97162,             0.99232,             0.71176,            0.013954,           0.0053318,           0.0023848,            0.001981,            0.001981,            0.001981
                  83,            0.020224,           0.0087647,           0.0084877,             0.98494,             0.97962,             0.99449,             0.71977,            0.013535,           0.0052009,           0.0012854,            0.001882,            0.001882,            0.001882
                  84,            0.019354,           0.0080083,            0.010111,             0.95992,               0.978,             0.99116,             0.70804,            0.013622,           0.0052577,           0.0020184,            0.001783,            0.001783,            0.001783
                  85,            0.019464,           0.0085341,           0.0085655,             0.97011,             0.97681,             0.99126,             0.71513,            0.013429,           0.0052543,           0.0019683,            0.001684,            0.001684,            0.001684
                  86,             0.02167,           0.0088759,           0.0086575,             0.97588,             0.98683,             0.99261,             0.71267,            0.013386,           0.0052649,           0.0017083,            0.001585,            0.001585,            0.001585
                  87,            0.022134,           0.0088105,            0.010132,             0.98347,              0.9906,             0.99318,             0.71842,            0.013203,           0.0052284,           0.0012204,            0.001486,            0.001486,            0.001486
                  88,            0.020722,           0.0084583,           0.0096167,             0.98969,             0.98959,             0.99348,             0.72569,            0.013051,           0.0051907,           0.0010664,            0.001387,            0.001387,            0.001387
                  89,            0.019861,           0.0086942,           0.0079397,             0.98088,              0.9801,             0.99004,             0.70916,            0.013521,           0.0052519,           0.0016417,            0.001288,            0.001288,            0.001288
                  90,            0.020018,           0.0085958,           0.0074555,             0.97108,             0.99045,             0.99182,             0.71857,            0.013192,           0.0051772,           0.0014125,            0.001189,            0.001189,            0.001189
                  91,            0.019472,           0.0085328,           0.0076892,             0.97747,             0.98622,             0.99289,              0.7225,            0.013117,            0.005188,           0.0012962,             0.00109,             0.00109,             0.00109
                  92,            0.018957,           0.0084557,           0.0062836,             0.98505,             0.98671,             0.99245,             0.72438,            0.013108,           0.0051638,           0.0012737,            0.000991,            0.000991,            0.000991
                  93,            0.017736,           0.0083066,            0.006744,             0.98666,             0.99515,             0.99402,             0.72576,            0.013047,           0.0051523,           0.0007753,            0.000892,            0.000892,            0.000892
                  94,            0.018347,           0.0085778,           0.0059333,             0.98682,             0.99578,             0.99427,             0.73079,             0.01302,           0.0051402,          0.00071485,            0.000793,            0.000793,            0.000793
                  95,            0.018359,           0.0085144,            0.007148,             0.98442,             0.99406,             0.99466,             0.72864,            0.013025,           0.0051422,          0.00068383,            0.000694,            0.000694,            0.000694
                  96,            0.020614,           0.0086505,            0.007458,             0.98364,             0.99014,             0.99431,             0.72573,            0.013053,           0.0051753,          0.00068822,            0.000595,            0.000595,            0.000595
                  97,            0.019709,           0.0088758,           0.0084599,             0.99008,             0.99349,              0.9946,             0.72996,            0.012985,            0.005193,          0.00062235,            0.000496,            0.000496,            0.000496
                  98,            0.016116,           0.0081487,           0.0041771,             0.99193,             0.99072,             0.99436,             0.72991,            0.012942,           0.0051644,          0.00071618,            0.000397,            0.000397,            0.000397
                  99,            0.021916,           0.0084156,           0.0075245,             0.99162,             0.99066,             0.99371,             0.73476,            0.012908,            0.005133,          0.00076047,            0.000298,            0.000298,            0.000298
